customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit,store_id,create_timestamp,update_timestamp
121,Baane Mini Imports,Bergulfsen,Jonas ,07-98 9555,Erling Skakkes gate 78,NULL,Stavern,NULL,4110,Norway,1504,81700.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
227,Heintze Collectables,Ibsen,Palle,86 21 3555,Smagsloget 45,NULL,Aalborg,NULL,8200,Denmark,1401,120800.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
320,Mini Creations Ltd.,Huang,Wing,5085559555,4575 Hillside Dr.,NULL,New Bedford,MA,50553,USA,1188,94500.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
333,Australian Gift Network, Co,Calaghan,Ben,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,0,1611.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
448,Scandinavian Gift Ideas,Larsson,Martha,0695-34 6555,,NULL,G̦teborg,NULL,S-844 67,Sweden,1504,116400.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
144,Volvo Model Replicas, Co,Berglund,Christina ,0921-12 3555,Berguvsv,,Lule,NULL,S-958 22,0,1504.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
242,Alpha Cognac,Roulet,Annette ,61.77.6555,1 rue Alsace-Lorraine,NULL,Toulouse,NULL,31000,France,1370,61100.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
459,Warburg Exchange,Ottlieb,Sven ,0241-039123,Walserweg 21,NULL,Aachen,NULL,52066,Germany,NULL,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
452,Mini Auto Werke,Mendel,Roland ,7675-3555,Kirchgasse 6,NULL,Graz,NULL,8010,Austria,1401,45300.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
204,Online Mini Collectables,Barajas,Miguel,6175557555,7635 Spinnaker Dr.,NULL,Brickhaven,MA,58339,USA,1188,68700.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
181,Vitachrome Inc.,Frick,Michael,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,1286,76400.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
447,Gift Ideas Corp.,Lewis,Dan,2035554407,2440 Pompton St.,NULL,Glendale,CT,97561,USA,1323,49700.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
415,Bavarian Collectables Imports, Co.,Donnermeyer,Michael, +49 89 61 08 9555,Hansastr. 15,,Munich,NULL,80686,0,1504.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
324,Stylish Desk Decors, Co.,Brown,Ann ,(171) 555-0297,35 King George,,London,NULL,WX3 6FW,0,1501.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
406,Auto Canal+ Petit,Perrier,Dominique,(1) 47.55.6555,25, rue Lauriston,,Paris,NULL,75016,0,1337.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
311,Oulu Toy Supplies, Inc.,Koskitalo,Pirkko,981-443655,Torikatu 38,,Oulu,NULL,90110,0,1501.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
278,Rovelli Gifts,Rovelli,Giovanni ,035-640555,Via Ludovico il Moro 22,NULL,Bergamo,NULL,24100,Italy,1401,119600.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
237,ANG Resellers,Camino,Alejandra ,(91) 745 6555,Gran V,NULL,Madrid,NULL,28001,Spain,NULL,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
256,Auto Associ,Tonini,Daniel ,30.59.8555,67, avenue de l'Europe,,Versailles,NULL,78000,0,1370.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
314,Petit Auto,Dewey,Catherine ,(02) 5554 67,Rue Joseph-Bens 532,NULL,Bruxelles,NULL,B-1180,Belgium,1401,79900.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
198,Auto-Moto Classics Inc.,Taylor,Leslie,6175558428,16780 Pompton St.,NULL,Brickhaven,MA,58339,USA,1216,23000.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
