customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit,store_id,create_timestamp,update_timestamp
459,Warburg Exchange,Ottlieb,Sven ,0241-039123,Walserweg 21,NULL,Aachen,NULL,52066,Germany,NULL,0.00,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
131,Land of Toys Inc.,Lee,Kwai,2125557818,897 Long Airport Avenue,NULL,NYC,NY,10022,USA,1323,114900.00,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
204,Online Mini Collectables,Barajas,Miguel,6175557555,7635 Spinnaker Dr.,NULL,Brickhaven,MA,58339,USA,1188,68700.00,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
319,Mini Classics,Frick,Steve,9145554562,3758 North Pendale Street,NULL,White Plains,NY,24067,USA,1323,102700.00,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
447,Gift Ideas Corp.,Lewis,Dan,2035554407,2440 Pompton St.,NULL,Glendale,CT,97561,USA,1323,49700.00,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
129,Mini Wheels Co.,Murphy,Julie,6505555787,5557 North Pendale Street,NULL,San Francisco,CA,94217,USA,1165,64600.00,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
369,Lisboa Souveniers  Inc,Rodriguez,Lino ,(1) 354-2555,Jardim das rosas n. 32,NULL,Lisboa,NULL,1675,Portugal,NULL,0.00,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
161,Technics Stores Inc.,Hashimoto,Juri,6505556809,9408 Furth Circle,NULL,Burlingame,CA,94217,USA,1165,84600.00,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
462,FunGiftIdeas.com,Benitez,Violeta,5085552555,1785 First Street,NULL,New Bedford,MA,50553,USA,1216,85800.00,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
465,Anton Designs  Ltd.,Anton,Carmen,+34 913 728555,c/ Gobelas  19-1 Urb. La Florida,NULL,Madrid,NULL,28023,Spain,NULL,0.00,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
273,Franken Gifts  Co,Franken,Peter ,089-0877555,Berliner Platz 43,NULL,Manheim,NULL,80805,Germany,NULL,0.00,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
443,Feuer Online Stores  Inc,Feuer,Alexander ,0342-555176,Heerstr. 22,NULL,Leipzig,NULL,04179,Germany,NULL,0.00,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
286,Marta's Replicas Co.,Hernandez,Marta,6175558555,39323 Spinnaker Dr.,NULL,Cambridge,MA,51247,USA,1216,123700.00,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
124,Mini Gifts Distributors Ltd.,Nelson,Susan,4155551450,5677 Strong St.,NULL,San Rafael,CA,97562,USA,1165,210500.00,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
237,ANG Resellers,Camino,Alejandra ,(91) 745 6555,Gran V,NULL,Madrid,NULL,28001,Spain,NULL,0.00,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
169,Porto Imports Co.,de Castro,Isabel ,(1) 356-5555,Estrada da sa,NULL,Lisboa,NULL,1756,Portugal,NULL,0.00,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
339,Classic Gift Ideas  Inc,Cervantes,Francisca,2155554695,782 First Street,NULL,Philadelphia,PA,71270,USA,1188,81100.00,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
307,Der Hund Imports,Andersen,Mel,030-0074555,Obere Str. 57,NULL,Berlin,NULL,12209,Germany,NULL,0.00,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
450,The Sharp Gifts Warehouse,Frick,Sue,4085553659,3086 Ingle Ln.,NULL,San Jose,CA,94217,USA,1165,77600.00,NULL,2021-10-11 10:40:45,2021-10-11 10:40:45
